"Bronhouder"	"VTHobject ID"	"Bedrijfstype"	"Beëndigd"	"Adres"	"Gemeente"	"Aantal stallen"	"IPPC"	"NH3 emissie (kg/j)"	"Geur emissie (ouE/s)"	"Fijnstof emissie (g/j)"	"BAG VBO X"	"BAG VBO Y"	"Gem. emissie X"	"Gem. emissie Y"	"Besluitdatum"	"Zaaktype"
"ODA"	"ODA2015E0003"		"Nee"	"Notenstraatje 5 7031EN Wehl"	"Doetinchem"	"6"	"Nee"	"2.557,10"	"23.437,45"	"143.921,60"	"213473"	"441758"	"0"	"0"	"2024-03-26"	"NL10 Aanvraag Beschikking Regulier Behandelen"
"ODA"	"ODA2015E0011"		"Nee"	"Rietweg 1 7274GR Geesteren"		"1"	"Nee"	"567,00"	"7.969,50"	"38.556,00"	"231131"	"462678"	"0"	"0"	"2026-02-25"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E0013"		"Nee"	"Boerijendijk 7 7141HB Groenlo"	"Oost Gelre"	"3"	"Ja"	"4.840,50"	"39.185,00"	"5.766.312,50"	"241669"	"451167"	"0"	"0"	"2024-09-26"	"NL11 Aanvraag Beschikking Uitgebreid Behandelen"
"ODA"	"ODA2015E0014"		"Nee"	"Oosterholtweg 9 7142HJ Groenlo"	"Oost Gelre"	"6"	"Nee"	"4.361,80"	"0,00"	"45.694,00"	"242112"	"448168"	"181586"	"336100"	"2020-12-17"	"NL11 Aanvraag Beschikking Uitgebreid Behandelen"
"ODA"	"ODA2015E0016"		"Nee"	"Meisterholt 1 6942NR Didam"	"Montferland"	"3"	"Nee"	"5.517,50"	"12.015,00"	"537.500,00"	"208207"	"437894"	"0"	"0"	"2022-05-17"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E0021"		"Nee"	"G J Doorninkweg 2 a 7131NX Lichtenvoorde"		"3"	"Nee"	"1.939,60"	"0,00"	"17.400,00"	"237461"	"443646"	"0"	"0"	"2021-02-03"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E0037"		"Nee"		"Oost Gelre"	"1"	"Nee"	"220,00"	"0,00"	"1.900,00"	"null"	"null"	"0"	"0"	"2026-04-22"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E0039"		"Nee"	"Maatweg 2 7045AW Azewijn"	"Montferland"	"5"	"Ja"	"9.507,75"	"116.923,50"	"581.247,00"	"219252"	"433056"	"0"	"0"	"2023-07-13"	"NL11 Aanvraag Beschikking Uitgebreid Behandelen"
"ODA"	"ODA2015E0046"		"Nee"	"Schurinkweg 8 7135KJ Harreveld"		"2"	"Nee"	"186,60"	"0,00"	"1.482,00"	"231176"	"445364"	"0"	"0"	"1900-01-01"	""
"ODA"	"ODA2015E0048"		"Nee"	"Landstraat 36 7135KH Harreveld"	"Oost Gelre"	"3"	"Nee"	"2.667,40"	"0,00"	"24.084,40"	"230559"	"443750"	"0"	"0"	"2023-12-14"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E0049"		"Nee"	"Landstraat 30 7135KH Harreveld"	"Oost Gelre"	"1"	"Nee"	"846,80"	"676,40"	"14.883,00"	"229811"	"443668"	"0"	"0"	"2024-12-18"	"NL11 Aanvraag Beschikking Uitgebreid Behandelen"
"ODA"	"ODA2015E0050"		"Nee"	"Varsseveldseweg 20 A 7061GA Terborg"	"Oude IJsselstreek"	"2"	"Nee"	"187,50"	"400,00"	"43.530,00"	"222694"	"437406"	"0"	"0"	"2022-06-16"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E0053"		"Nee"	"Beekseweg 56 7031GN Wehl"		"5"	"Nee"	"555,00"	"2.170,00"	"12.220,00"	"211218"	"440728"	"0"	"0"	"2020-04-29"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E0054"		"Nee"	"Bakermarksedijk 3 7223KJ Baak"		"1"	"Nee"	"1.560,00"	"11.960,00"	"79.560,00"	"213243"	"452892"	"0"	"0"	"2014-04-11"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E0056"		"Nee"	"Broekweg 4 7255KP Hengelo (Gld)"	"Bronckhorst"	"5"	"Nee"	"875,50"	"6.882,80"	"48.774,00"	"214894"	"451172"	"0"	"0"	"2021-10-08"	"NL11 Aanvraag Beschikking Uitgebreid Behandelen"
"ODA"	"ODA2015E0057"		"Nee"	"de Eldersmaat 3 7251RJ Vorden"	"Bronckhorst"	"3"	"Nee"	"2.745,80"	"0,00"	"24.920,80"	"216806"	"456950"	"0"	"0"	"2022-10-27"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E0059"		"Nee"	"Aaltenseweg 3 7084AZ Breedenbroek"		"4"	"Nee"	"1.162,77"	"36.592,37"	"332.735,75"	"229684"	"435584"	"0"	"0"	"2016-07-28"	"NL10 Aanvraag Beschikking Regulier Behandelen"
"ODA"	"ODA2015E0060"		"Nee"	"Banninkweg 3 7081HG Gendringen"	"Oude IJsselstreek"	"2"	"Nee"	"1.065,00"	"0,00"	"11.520,00"	"221732"	"430806"	"0"	"0"	"2026-03-12"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E0061"		"Nee"	"Beuningstraat 9 7078AM Megchelen"		"1"	"Nee"	"14,00"	"156,00"	"0,00"	"223647"	"428928"	"0"	"0"	"2015-04-08"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E0063"		"Nee"	"Winterswijkseweg 68 7142HG Groenlo"		"9"	"Nee"	"4.587,60"	"16.790,00"	"143.857,60"	"240137"	"449618"	"0"	"0"	"2019-01-08"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E0064"		"Nee"	"Avesterweg 11 7156MH Beltrum"	"Berkelland"	"4"	"Nee"	"1.359,20"	"0,00"	"13.332,00"	"237125"	"453843"	"0"	"0"	"2015-11-09"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E0067"		"Nee"	"Berenpassteeg 7 7261NH Ruurlo"	"Berkelland"	"5"	"Nee"	"3.595,80"	"1.932,00"	"52.932,00"	"229620"	"457342"	"0"	"0"	"2019-10-05"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E0069"		"Nee"	"Broekhuisdijk 6 7275CB Gelselaar"	"Berkelland"	"2"	"Nee"	"1.688,00"	"0,00"	"21.136,00"	"232238"	"466167"	"0"	"0"	"2022-05-11"	"NL11 Aanvraag Beschikking Uitgebreid Behandelen"
"ODA"	"ODA2015E0071"		"Nee"	"Borculoseweg 66 7261NK Ruurlo"		"2"	"Nee"	"927,00"	"0,00"	"12.132,00"	"229271"	"456622"	"0"	"0"	"2015-02-03"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E0072"		"Nee"	"Borculoseweg 70 7151MS Eibergen"	"Berkelland"	"1"	"Nee"	"964,80"	"0,00"	"10.476,00"	"238942"	"458758"	"0"	"0"	"1900-01-01"	""
"ODA"	"ODA2015E0073"		"Nee"	"Borculoseweg 74 7151MS Eibergen"		"3"	"Nee"	"2.663,60"	"29.326,10"	"30.300,00"	"238777"	"458730"	"0"	"0"	"2022-11-17"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E0078"		"Nee"	"Frankweg 3 7156SG Beltrum"		"1"	"Nee"	"786,00"	"6.026,00"	"40.086,00"	"237064"	"451783"	"0"	"0"	"2014-06-19"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E0079"		"Nee"	"Arnhemseweg 15 7037CX Beek"		"5"	"Nee"	"2.707,00"	"6.408,00"	"26.261,20"	"209876"	"435878"	"0"	"0"	"2019-01-11"	"NL11 Aanvraag Beschikking Uitgebreid Behandelen"
"ODA"	"ODA2015E0080"		"Nee"	"Braamtseweg 8 7035CT Kilder"		"1"	"Nee"	"52,50"	"585,00"	"0,00"	"214762"	"438926"	"0"	"0"	"2018-03-08"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E0081"		"Nee"	"de Hogenend 94 6942ND Didam"		"1"	"Nee"	"6,30"	"0,00"	"0,00"	"204854"	"438526"	"0"	"0"	"2020-05-27"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E0082"		"Nee"	"Kerkhuisstraat 22 7037DE Beek"		"3"	"Nee"	"595,02"	"3.442,50"	"30.302,00"	"209178"	"437008"	"0"	"0"	"2022-11-30"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E0083"		"Nee"	"Koppelstraat 2 7047CX Braamt"	"Montferland"	"13"	"Nee"	"4.160,00"	"21.030,00"	"160.665,00"	"215774"	"437309"	"0"	"0"	"2026-01-07"	"NL11 Aanvraag Beschikking Uitgebreid Behandelen"
"ODA"	"ODA2015E0087"		"Nee"	"Heebinkweg 3 7064KD Silvolde"		"1"	"Nee"	"1.657,20"	"0,00"	"15.206,80"	"224162"	"436721"	"0"	"0"	"2023-04-06"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E0089"		"Nee"	"Bouwhuisweg 21 7245VL Laren"	"Lochem"	"4"	"Nee"	"664,40"	"436,80"	"6.945,20"	"226999"	"468615"	"0"	"0"	"2021-10-13"	"NL11 Aanvraag Beschikking Uitgebreid Behandelen"
"ODA"	"ODA2015E0090"		"Nee"	"Kattendijk 5 7025EA Halle"		"7"	"Nee"	"2.488,55"	"19.405,10"	"133.678,65"	"226753"	"443362"	"0"	"0"	"2022-02-16"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E0092"		"Nee"	"Haaghweg 2 6942GP Didam"	"Montferland"	"3"	"Nee"	"14.531,50"	"27.936,00"	"1.298.000,00"	"206542"	"437853"	"0"	"0"	"1900-01-01"	""
"ODA"	"ODA2015E0093"		"Nee"	"Groenestraat 1 6941SN Didam"	"Montferland"	"2"	"Ja"	"4.788,00"	"18.088,00"	"3.458.000,00"	"207133"	"441488"	"0"	"0"	"2019-11-04"	"NL11 Aanvraag Beschikking Uitgebreid Behandelen"
"ODA"	"ODA2015E0095"		"Nee"	"Diepenheimseweg 36 7161MA Neede"		"7"	"Nee"	"150,30"	"1.302,60"	"0,00"	"238200"	"464396"	"238175"	"464396"	"2020-07-07"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E0109"		"Nee"	"Tolhutterweg 17 7261KS Ruurlo"		"3"	"Nee"	"897,40"	"0,00"	"7.940,00"	"227732"	"451102"	"0"	"0"	"2023-11-23"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E0112"		"Nee"	"Weenkweg 6 7165BA Rietmolen"		"1"	"Nee"	"2.123,40"	"0,00"	"23.376,00"	"242017"	"463486"	"0"	"0"	"2022-09-09"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E0115"		"Nee"		"Montferland"	"4"	"Nee"	"795,00"	"5.340,00"	"25.500,00"	"null"	"null"	"0"	"0"	"2017-10-24"	"NL10 Aanvraag Beschikking Regulier Behandelen"
