"Bronhouder"	"VTHobject ID"	"Bedrijfstype"	"Beëndigd"	"Adres"	"Gemeente"	"Aantal stallen"	"IPPC"	"NH3 emissie (kg/j)"	"Geur emissie (ouE/s)"	"Fijnstof emissie (g/j)"	"BAG VBO X"	"BAG VBO Y"	"Gem. emissie X"	"Gem. emissie Y"	"Besluitdatum"	"Zaaktype"
"Horst aan de Maas"	"5766PP25"	"Melkrundvee"	"Nee"	"Lavendellaan 25 5766PP Griendtsveen"	"Horst aan de Maas"	"1"	"Nee"	"107,20"	"142,40"	"1.468,00"	"190005"	"383809"	"189990"	"383841"	"1995-05-30"	"Melding:Activiteitenbesluit"
"ODNML"	"5768AV26"	"voormalig bedrijf"	"Ja"	"Steegstraat 26 5768AV MEIJEL"	"Peel en Maas"	"1"	""	"0,00"	"0,00"	"0,00"	"190275"	"372480"	"190275"	"372480"	"2019-05-09"	"Intrekking:intrekking gehele veebestand"
"ODNML"	"5768AV30"	"voormalig bedrijf"	"Ja"	"Steegstraat 30 5768AV MEIJEL"	"Peel en Maas"	"1"	""	"0,00"	"0,00"	"0,00"	"190373"	"372527"	"190373"	"372527"	"2019-06-18"	"Intrekking:intrekking gehele veebestand"
"ODNML"	"5768CS10"	"voormalig bedrijf"	"Ja"	"Simonshoek 10 5768CS MEIJEL"	"Peel en Maas"	"1"	""	"0,00"	"0,00"	"0,00"	"189018"	"372602"	"189018"	"372602"	"2017-03-17"	"Intrekking:intrekking gehele veebestand"
"ODNML"	"5768CS7"	"Melkrundvee"	"Nee"	"Simonshoek 7 5768CS Meijel"	"Peel en Maas"	"1"	""	"334,00"	"1.068,00"	"5.700,00"	"189123"	"372594"	"189146"	"372569"	"2004-11-22"	"Vergunning:Beschikkking WM revisievergunning"
"ODNML"	"5768CS9"	"Paarden"	"Nee"	"Simonshoek 9 5768CS Meijel"	"Peel en Maas"	"1"	""	"148,10"	"0,00"	"0,00"	"189098"	"372583"	"189094"	"372528"	"2005-06-13"	"Vergunning:Beschikkking WM revisievergunning"
"ODNML"	"5768CZ12"	"Vleesvarkens"	"Nee"	"Simonshoeksesteeg 12 5768CZ MEIJEL"	"Peel en Maas"	"6"	"Ja"	"3.307,20"	"38.032,80"	"241.839,00"	"189363"	"371421"	"189378"	"371416"	"2022-11-08"	"Omgevingsvergunning-verandering"
"ODNML"	"5768CZ4"	"voormalig bedrijf"	"Ja"	"Simonshoeksesteeg 4 5768CZ MEIJEL"	"Peel en Maas"	"1"	""	"0,00"	"0,00"	"0,00"	"189061"	"372315"	"189061"	"372315"	"2012-12-27"	"Intrekking:intrekking gehele veebestand"
"ODNML"	"5768PB2"	"voormalig bedrijf"	"Ja"	"Berkenheg 2 5768PB Meijel"	"Peel en Maas"	"1"	""	"0,00"	"0,00"	"0,00"	"188263"	"373261"	"188285"	"373266"	"2015-07-09"	"Intrekking:Activiteitenbesluit"
"ODNML"	"5768PD10"	"Melkrundvee"	"Nee"	"Astenseweg 10 5768PD Meijel"	"Peel en Maas"	"1"	""	"1.509,40"	"0,00"	"16.144,00"	"188097"	"373350"	"188093"	"373394"	"2018-08-30"	"Melding:Activiteitenbesluit"
"ODNML"	"5768PD2"	"Vleesvee"	"Nee"	"Astenseweg 2 5768PD MEIJEL"	"Peel en Maas"	"1"	"Nee"	"565,00"	"5.696,00"	"5.280,00"	"188909"	"373196"	"188938"	"373167"	"2011-05-17"	"Vergunning:"
