"Bronhouder"	"VTHobject ID"	"Stal ID"	"Omschrijving"	"Adres"	"Gemeente"	"EmissieX"	"EmissieY"	"NH3 emissie (kg/j)"	"Geur emissie (ouE/s)"	"Fijnstof emissie (g/j)"	"Zaaknummer"	"Besluitdatum"	"Zaaktype"
"ODA"	"ODA2015E0003"	"ODA7556"	"Stal 1"	"Notenstraatje 5 7031EN Wehl"	"Doetinchem"	"0"	"0"	"156,00"	"0,00"	"1.420,80"	"ODA2024V0041"	"2024-03-26"	"NL10 Aanvraag Beschikking Regulier Behandelen"
"ODA"	"ODA2015E0003"	"ODA7557"	"Stal 2"	"Notenstraatje 5 7031EN Wehl"	"Doetinchem"	"0"	"0"	"101,00"	"0,00"	"1.190,00"	"ODA2024V0041"	"2024-03-26"	"NL10 Aanvraag Beschikking Regulier Behandelen"
"ODA"	"ODA2015E0003"	"ODA7558"	"Stal 4"	"Notenstraatje 5 7031EN Wehl"	"Doetinchem"	"0"	"0"	"216,00"	"1.656,00"	"11.016,00"	"ODA2024V0041"	"2024-03-26"	"NL10 Aanvraag Beschikking Regulier Behandelen"
"ODA"	"ODA2015E0003"	"ODA7559"	"Stal 5/6"	"Notenstraatje 5 7031EN Wehl"	"Doetinchem"	"0"	"0"	"764,10"	"10.739,85"	"51.958,80"	"ODA2024V0041"	"2024-03-26"	"NL10 Aanvraag Beschikking Regulier Behandelen"
"ODA"	"ODA2015E0003"	"ODA7560"	"Stal 7"	"Notenstraatje 5 7031EN Wehl"	"Doetinchem"	"0"	"0"	"216,00"	"2.577,60"	"22.032,00"	"ODA2024V0041"	"2024-03-26"	"NL10 Aanvraag Beschikking Regulier Behandelen"
"ODA"	"ODA2015E0003"	"ODA7561"	"Stal 8/9"	"Notenstraatje 5 7031EN Wehl"	"Doetinchem"	"0"	"0"	"1.104,00"	"8.464,00"	"56.304,00"	"ODA2024V0041"	"2024-03-26"	"NL10 Aanvraag Beschikking Regulier Behandelen"
"ODA"	"ODA2015E0011"	"ODA33"	"Stal 1,2 en 3"	"Rietweg 1 7274GR Geesteren"		"0"	"0"	"567,00"	"7.969,50"	"38.556,00"	"ODA2025EA1760"	"2026-02-25"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E0013"	"ODA6075"	"Stal 3"	"Boerijendijk 7 7141HB Groenlo"	"Oost Gelre"	"0"	"0"	"588,00"	"4.760,00"	"409.500,00"	"ODA2024V0025"	"2024-09-26"	"NL11 Aanvraag Beschikking Uitgebreid Behandelen"
"ODA"	"ODA2015E0013"	"ODA6080"	"Stal 4"	"Boerijendijk 7 7141HB Groenlo"	"Oost Gelre"	"0"	"0"	"1.438,50"	"11.645,00"	"1.001.812,50"	"ODA2024V0025"	"2024-09-26"	"NL11 Aanvraag Beschikking Uitgebreid Behandelen"
"ODA"	"ODA2015E0013"	"ODA6092"	"Stal 5"	"Boerijendijk 7 7141HB Groenlo"	"Oost Gelre"	"0"	"0"	"2.814,00"	"22.780,00"	"4.355.000,00"	"ODA2024V0025"	"2024-09-26"	"NL11 Aanvraag Beschikking Uitgebreid Behandelen"
"ODA"	"ODA2015E0014"	"ODA1130"	"9"	"Oosterholtweg 9 7142HJ Groenlo"	"Oost Gelre"	"0"	"0"	"510,40"	"0,00"	"4.408,00"	"ODA2017WU0032"	"2020-12-17"	"NL11 Aanvraag Beschikking Uitgebreid Behandelen"
"ODA"	"ODA2015E0014"	"ODA140"	"2"	"Oosterholtweg 9 7142HJ Groenlo"	"Oost Gelre"	"242131"	"448152"	"308,00"	"0,00"	"2.660,00"	"ODA2017WU0032"	"2020-12-17"	"NL11 Aanvraag Beschikking Uitgebreid Behandelen"
"ODA"	"ODA2015E0014"	"ODA133"	"6"	"Oosterholtweg 9 7142HJ Groenlo"	"Oost Gelre"	"242075"	"448123"	"1.443,00"	"0,00"	"13.142,40"	"ODA2017WU0032"	"2020-12-17"	"NL11 Aanvraag Beschikking Uitgebreid Behandelen"
"ODA"	"ODA2015E0014"	"ODA1359"	"6"	"Oosterholtweg 9 7142HJ Groenlo"	"Oost Gelre"	"0"	"0"	"672,00"	"0,00"	"11.366,40"	"ODA2017WU0032"	"2020-12-17"	"NL11 Aanvraag Beschikking Uitgebreid Behandelen"
"ODA"	"ODA2015E0014"	"ODA135"	"6 (naast stal 6 in Iglo's)"	"Oosterholtweg 9 7142HJ Groenlo"	"Oost Gelre"	"242075"	"448123"	"154,00"	"0,00"	"1.330,00"	"ODA2017WU0032"	"2020-12-17"	"NL11 Aanvraag Beschikking Uitgebreid Behandelen"
"ODA"	"ODA2015E0014"	"ODA1286"	"3"	"Oosterholtweg 9 7142HJ Groenlo"	"Oost Gelre"	"242138"	"448126"	"1.274,40"	"0,00"	"12.787,20"	"ODA2017WU0032"	"2020-12-17"	"NL11 Aanvraag Beschikking Uitgebreid Behandelen"
"ODA"	"ODA2015E0016"	"ODA35"	"D"	"Meisterholt 1 6942NR Didam"	"Montferland"	"0"	"0"	"35,00"	"390,00"	"0,00"	"ODA2022EA0634"	"2022-05-17"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E0016"	"ODA6807"	"D"	"Meisterholt 1 6942NR Didam"	"Montferland"	"0"	"0"	"45,00"	"0,00"	"0,00"	"ODA2022EA0634"	"2022-05-17"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E0016"	"ODA6707"	"stal A + B"	"Meisterholt 1 6942NR Didam"	"Montferland"	"0"	"0"	"5.437,50"	"11.625,00"	"537.500,00"	"ODA2022EA0634"	"2022-05-17"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E0021"	"ODA4879"	"-"	"G J Doorninkweg 2 a 7131NX Lichtenvoorde"		"0"	"0"	"10,00"	"0,00"	"0,00"	"ODA2021MA0082"	"2021-02-03"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E0021"	"ODA4378"	"Ligboxenstal"	"G J Doorninkweg 2 a 7131NX Lichtenvoorde"		"0"	"0"	"1.560,00"	"0,00"	"14.208,00"	"ODA2021MA0082"	"2021-02-03"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E0021"	"ODA4449"	"stallen"	"G J Doorninkweg 2 a 7131NX Lichtenvoorde"		"0"	"0"	"369,60"	"0,00"	"3.192,00"	"ODA2021MA0082"	"2021-02-03"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E0037"	"ODA9918"	"jongvee"		"Oost Gelre"	"0"	"0"	"220,00"	"0,00"	"1.900,00"	"ODA2026EA0840"	"2026-04-22"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E0039"	"ODA4158"	"Varkensstal 1"	"Maatweg 2 7045AW Azewijn"	"Montferland"	"0"	"0"	"630,00"	"4.830,00"	"32.130,00"	"ODA2021WU0145"	"2023-07-13"	"NL11 Aanvraag Beschikking Uitgebreid Behandelen"
