"Bronhouder"	"VTHobject ID"	"Bedrijfstype"	"Beëndigd"	"Adres"	"Gemeente"	"Aantal stallen"	"IPPC"	"NH3 emissie (kg/j)"	"Geur emissie (ouE/s)"	"Fijnstof emissie (g/j)"	"BAG VBO X"	"BAG VBO Y"	"Gem. emissie X"	"Gem. emissie Y"	"Besluitdatum"	"Zaaktype"
"OMWB"	"4251EX29"	"Paarden"	"Nee"	"Voorstevliet 29 4251EX Werkendam"	"Altena"	"1"	"Nee"	"44,40"	"95,00"	"1.780,00"	"121519"	"424657"	"121516"	"424654"	"2010-03-11"	"Melding:Besluit Landbouw milieubeheer"
"OMWB"	"4251MA1"	"voormalig bedrijf"	"Ja"	"Beverstaart 1 4251MA WERKENDAM"	"Altena"	"1"	"Nee"	"0,00"	"0,00"	"0,00"	"118733"	"423265"	"118733"	"423265"	"2014-12-15"	"Intrekking:Intrekking gehele veestand"
"OMWB"	"4251MA2"	"voormalig bedrijf"	"Ja"	"Beverstaart 2 4251MA WERKENDAM"	"Altena"	"1"	"Nee"	"0,00"	"0,00"	"0,00"	"118825"	"423269"	"118825"	"423269"	"2014-12-18"	"Intrekking:Intrekking gehele veestand"
"OMWB"	"4251MB1"	"voormalig bedrijf"	"Ja"	"Japesloot 1 4251MB WERKENDAM"	"Altena"	"1"	""	"0,00"	"0,00"	"0,00"	"118446"	"422705"	"118446"	"422705"	"2007-12-11"	"Intrekking:Intrekking gehele veestand"
"OMWB"	"4251ME33"	"voormalig bedrijf"	"Ja"	"Bandijk 33 4251ME WERKENDAM"	"Altena"	"1"	"Nee"	"0,00"	"0,00"	"0,00"	"116112"	"422712"	"116112"	"422712"	"2018-06-25"	"Intrekking:Intrekking gehele veestand"
"OMWB"	"4251MG46"	"Schapen"	"Nee"	"Bandijk 46 4251MG Werkendam"	"Altena"	"2"	"Nee"	"61,50"	"568,00"	"850,00"	"115904"	"422788"	"115875"	"422781"	"1995-03-07"	"Melding:AMVB Akkerbouwbedrijven"
"OMWB"	"4251MH1"	"Melkrundvee"	"Nee"	"Kroonweg 1 4251MH Werkendam"	"Altena"	"2"	"Nee"	"480,60"	"202,80"	"7.210,00"	"114720"	"422285"			"2023-09-27"	"Melding activiteitenbesluit"
"OMWB"	"4251MH3"	"Paarden"	"Nee"	"Kroonweg 3 4251MH Werkendam"	"Altena"	"1"	"Nee"	"30,00"	"0,00"	"0,00"	"115003"	"421586"	"115002"	"421553"	"2018-03-16"	"Melding:Melding activiteitenbesluit"
"OMWB"	"4251MJ56"	"voormalig bedrijf"	"Ja"	"Bandijk 56 4251MJ WERKENDAM"	"Altena"	"1"	""	"0,00"	"0,00"	"0,00"	"113802"	"422882"	"113802"	"422882"	"2006-09-05"	"Intrekking:Intrekking gehele veestand"
"OMWB"	"4251MJ57"	"voormalig bedrijf"	"Ja"	"Bandijk 57 4251MJ WERKENDAM"	"Altena"	"1"	""	"0,00"	"0,00"	"0,00"	"113694"	"422841"	"113694"	"422841"	"2006-12-31"	"Intrekking:rechtswege vervalle/akkerbouw"
"OMWB"	"4251MK2"	"voormalig bedrijf"	"Ja"	"Witboomkil 2 4251MK WERKENDAM"	"Altena"	"1"	"Nee"	"0,00"	"0,00"	"0,00"	"114546"	"421987"	"114546"	"421987"	"2019-02-18"	"Intrekking:Intrekking gehele veestand"
"OMWB"	"4251MN1"	"voormalig bedrijf"	"Ja"	" 1 4251MN "	"Altena"	"1"	"Nee"	"0,00"	"0,00"	"0,00"	"113166"	"422159"	"113166"	"422159"	"2005-07-12"	"Intrekking:Intrekkingsvergunning"
