"Bronhouder"	"VTHobject ID"	"Stal ID"	"Omschrijving"	"Beëndigd"	"Adres"	"Gemeente"	"EmissieX"	"EmissieY"	"NH3 emissie (kg/j)"	"Geur emissie (ouE/s)"	"Fijnstof emissie (g/j)"	"Zaaknummer"	"Besluitdatum"	"Zaaktype"
"Horst aan de Maas"	"5766PP25"	"5766PP25_12616"	"bedrijf"	"Nee"	"Lavendellaan 25 5766PP Griendtsveen"	"Horst aan de Maas"	"189990"	"383841"	"107,20"	"142,40"	"1.468,00"	"5766PP25_12616"	"1995-05-30"	"Melding:Activiteitenbesluit"
"ODNML"	"5768CS7"	"5768CS7_6926"	"EP 189146,372569"	"Nee"	"Simonshoek 7 5768CS Meijel"	"Peel en Maas"	"189146"	"372569"	"334,00"	"1.068,00"	"5.700,00"	"5768CS7_6926"	"2004-11-22"	"Vergunning:Beschikkking WM revisievergunning"
"ODNML"	"5768CS9"	"5768CS9_6927"	"EP 189094,372528"	"Nee"	"Simonshoek 9 5768CS Meijel"	"Peel en Maas"	"189094"	"372528"	"148,10"	"0,00"	"0,00"	"5768CS9_6927"	"2005-06-13"	"Vergunning:Beschikkking WM revisievergunning"
"ODNML"	"5768CZ12"	"5768CZ12_11443"	"1A"	"Nee"	"Simonshoeksesteeg 12 5768CZ MEIJEL"	"Peel en Maas"	"189354"	"371404"	"3.100,50"	"15.847,00"	"105.417,00"	"5768CZ12_1894/2022/2660399"	"2022-11-08"	"Omgevingsvergunning-verandering"
"ODNML"	"5768CZ12"	"5768CZ12_11444"	"2B"	"Nee"	"Simonshoeksesteeg 12 5768CZ MEIJEL"	"Peel en Maas"	"189380"	"371427"	"30,90"	"3.316,60"	"20.394,00"	"5768CZ12_1894/2022/2660399"	"2022-11-08"	"Omgevingsvergunning-verandering"
"ODNML"	"5768CZ12"	"5768CZ12_11445"	"2C1"	"Nee"	"Simonshoeksesteeg 12 5768CZ MEIJEL"	"Peel en Maas"	"189385"	"371414"	"24,00"	"2.576,00"	"15.840,00"	"5768CZ12_1894/2022/2660399"	"2022-11-08"	"Omgevingsvergunning-verandering"
"ODNML"	"5768CZ12"	"5768CZ12_11446"	"2C2"	"Nee"	"Simonshoeksesteeg 12 5768CZ MEIJEL"	"Peel en Maas"	"189388"	"371402"	"27,00"	"2.898,00"	"17.820,00"	"5768CZ12_1894/2022/2660399"	"2022-11-08"	"Omgevingsvergunning-verandering"
"ODNML"	"5768CZ12"	"5768CZ12_11447"	"2C3"	"Nee"	"Simonshoeksesteeg 12 5768CZ MEIJEL"	"Peel en Maas"	"189390"	"371391"	"16,80"	"1.803,20"	"11.088,00"	"5768CZ12_1894/2022/2660399"	"2022-11-08"	"Omgevingsvergunning-verandering"
"ODNML"	"5768CZ12"	"5768CZ12_11448"	"3D"	"Nee"	"Simonshoeksesteeg 12 5768CZ MEIJEL"	"Peel en Maas"	"189373"	"371463"	"108,00"	"11.592,00"	"71.280,00"	"5768CZ12_1894/2022/2660399"	"2022-11-08"	"Omgevingsvergunning-verandering"
"ODNML"	"5768PD10"	"5768PD10_6932"	"EP 188093,373394"	"Nee"	"Astenseweg 10 5768PD Meijel"	"Peel en Maas"	"188093"	"373394"	"1.509,40"	"0,00"	"16.144,00"	"5768PD10_6932"	"2018-08-30"	"Melding:Activiteitenbesluit"
