"Bronhouder"	"VTHobject ID"	"Stal ID"	"Omschrijving"	"Beëndigd"	"Adres"	"Gemeente"	"EmissieX"	"EmissieY"	"NH3 emissie (kg/j)"	"Geur emissie (ouE/s)"	"Fijnstof emissie (g/j)"	"Zaaknummer"	"Besluitdatum"	"Zaaktype"
"OMWB"	"4251EX29"	"4251EX29_15876"	"bedrijf"	"Nee"	"Voorstevliet 29 4251EX Werkendam"	"Altena"	"121516"	"424654"	"44,40"	"95,00"	"1.780,00"	"4251EX29_15876"	"2010-03-11"	"Melding:Besluit Landbouw milieubeheer"
"OMWB"	"4251MG46"	"4251MG46_15750"	"bedrijf"	"Nee"	"Bandijk 46 4251MG Werkendam"	"Altena"	"115875"	"422781"	"61,50"	"568,00"	"850,00"	"4251MG46_15750"	"1995-03-07"	"Melding:AMVB Akkerbouwbedrijven"
"OMWB"	"4251MH1"	"4251MH1_2023-044260_2"	"stal 1"	"Nee"	"Kroonweg 1 4251MH Werkendam"	"Altena"			"480,60"	"202,80"	"7.210,00"	"4251MH1_2023-044260"	"2023-09-27"	"Melding activiteitenbesluit"
"OMWB"	"4251MH3"	"4251MH3_15713"	"bedrijf"	"Nee"	"Kroonweg 3 4251MH Werkendam"	"Altena"	"115002"	"421553"	"30,00"	"0,00"	"0,00"	"4251MH3_15713"	"2018-03-16"	"Melding:Melding activiteitenbesluit"
"OMWB"	"4251NC1"	"4251NC1_Melding BAL_1"	"Stal 2"	"Nee"	"Zalmpje 1 4251NC Werkendam"	"Altena"			"256,32"	"240,74"	"4.246,00"	"4251NC1_Z2024-00012094"	"2024-08-28"	"Melding Besluit Activiteit Leefomgeving"
"OMWB"	"4251NE2"	"4251NE2_16704"	"bedrijf"	"Nee"	"Kooike 2 4251NE Werkendam"	"Altena"	"119345"	"421905"	"595,00"	"0,00"	"0,00"	"4251NE2_16704"	"2013-09-13"	"Vergunning:Omgevingsvergunning-oprichting"
"OMWB"	"4251NV1"	"4251NV1_3772"	"bedrijf"	"Nee"	"Grote Waardweg 1 4251NV Werkendam"	"Altena"	"121675"	"423640"	"174,50"	"178,00"	"3.140,00"	"4251NV1_3772"	"2007-11-16"	"Melding:Besluit Landbouw milieubeheer"
"OMWB"	"4251PH1"	"4251PH1_679"	"bedrijf"	"Nee"	"Bruine Kilweg 1 4251PH Werkendam"	"Altena"	"119302"	"420119"	"35,00"	"390,00"	"0,00"	"4251PH1_679"	"2013-05-07"	"Melding:Melding activiteitenbesluit"
"OMWB"	"4251PL1"	"4251PL1_17539"	"Stal 1"	"Nee"	"Dertienmorgen 1 4251PL Werkendam"	"Altena"	"120687"	"422281"	"1.028,20"	"6.906,40"	"32.980,00"	"4251PL1_17539"	"2017-07-05"	"Vergunning:Omgevingsvergunning-oprichting"
"OMWB"	"4251PL1"	"4251PL1_17540"	"Stal 2"	"Nee"	"Dertienmorgen 1 4251PL Werkendam"	"Altena"	"120676"	"422232"	"84,80"	"569,60"	"2.720,00"	"4251PL1_17540"	"2017-07-05"	"Vergunning:Omgevingsvergunning-oprichting"
"OMWB"	"4251PL1"	"4251PL1_17541"	"Stal 3"	"Nee"	"Dertienmorgen 1 4251PL Werkendam"	"Altena"	"120713"	"422199"	"82,00"	"0,00"	"1.720,00"	"4251PL1_17541"	"2017-07-05"	"Vergunning:Omgevingsvergunning-oprichting"
"OMWB"	"4251PL1"	"4251PL1_17542"	"Stal 4"	"Nee"	"Dertienmorgen 1 4251PL Werkendam"	"Altena"	"120642"	"422320"	"14,20"	"0,00"	"0,00"	"4251PL1_17542"	"2017-07-05"	"Vergunning:Omgevingsvergunning-oprichting"
