provincie,instellingsnaam,straatnaam,huisnummer-toevoeging,postcode,plaatsnaam,gemeentenummer,gemeentenaam,telefoonnummer,onderwijstype,latitude,longitude
Drenthe,Bbs De Verwondering,Melkweg,13,9306 Tc,Alteveer Gem Noordenveld,1699,Noordenveld,,Basisonderwijs,53.11392514,6.43798025
Drenthe,Kindcentrum De Wegwijzer,Harm Tiesingstraat,74,9571 Az,2E Exloermond,1681,Borger-Odoorn,0599671206,Basisonderwijs,52.90185962,6.92183534
Drenthe,Christelijk Kindcentrum De Borgh,Molenstraat,3-A,9531 Ch,Borger,1681,Borger-Odoorn,0599234254,Basisonderwijs,52.92171223,6.79637322
Drenthe,Kindcentrum Drijber,Nijenkamp,29,9419 Tm,Drijber,1731,Midden-Drenthe,0593562543,Basisonderwijs,52.78784548,6.5468591
Drenthe,Christelijk Kindcentrum Menso Altingschool,Brinkhovenlaan,3-B,9765 Bh,Paterswolde,1730,Tynaarlo,0503093854,Basisonderwijs,53.14983045,6.5693784
Drenthe,Dalton Kindcentrum ’T Kompas,Ceresstraat,6,9514 Ca,Gasselternijveen,1680,Aa En Hunze,0599512734,Basisonderwijs,52.98875169,6.85324631
Drenthe,Kindcentrum De Klister,Noorderdiep,123,9521 Bc,Nieuw-Buinen,1681,Borger-Odoorn,0599613864,Basisonderwijs,52.96774634,6.9537094
Drenthe,Dalton Kindcentrum De Vaart,Prof. Dr. Obbinkstraat,3-B,9423 Pr,Hoogersmilde,1731,Midden-Drenthe,0592459055,Basisonderwijs,52.90616659,6.39494666
Drenthe,Kindcentrum Speel En Leer,Kerklaan,3,9341 Av,Veenhuizen,1699,Noordenveld,0592388355,Basisonderwijs,53.03241159,6.39451911
Drenthe,Kindcentrum Het Octaaf,Witterhoofdweg,1-C,9405 Hx,Assen,0106,Assen,0592351506,Basisonderwijs,52.98739216,6.52985731
Drenthe,Dalton Kindcentrum De Wingerd,Floralaan,1-A,9421 Np,Bovensmilde,1731,Midden-Drenthe,0592412991,Basisonderwijs,52.97373891,6.48004761
Drenthe,Kindcentrum De Marke,De Weegbree,21,9461 Km,Gieten,1680,Aa En Hunze,0592263113,Basisonderwijs,53.00171021,6.77117762
Drenthe,Kindcentrum De Wegwijzer,Homaat,2,9431 Mk,Westerbork,1731,Midden-Drenthe,0593331305,Basisonderwijs,52.85570028,6.60798866
Drenthe,Kindcentrum De Holtenhoek,Holtenweg,5,9481 Cn,Vries,1730,Tynaarlo,0592541644,Basisonderwijs,53.07581095,6.57352306
Drenthe,Kindcentrum De Schutkampen,Prins Hendrikstraat,2,9422 Gj,Smilde,1731,Midden-Drenthe,0592414010,Basisonderwijs,52.94586457,6.44676564
Drenthe,Kindcentrum De Regenboog,Tuinstraat,5-B,9404 Kk,Assen,0106,Assen,0592316723,Basisonderwijs,52.98853429,6.57735692
Drenthe,Kindcentrum Beatrix,Sportlaan,10,9411 Bg,Beilen,1731,Midden-Drenthe,0593522718,Basisonderwijs,52.86477001,6.50818012
Drenthe,Christelijk Kindcentrum Het Stroomdal,Esdoornlaan,1,9471 Sh,Zuidlaren,1730,Tynaarlo,0504093170,Basisonderwijs,53.0839323,6.66541193
Drenthe,Christelijk Dalton Kindcentrum De Eshorst,Esweg,106,9411 Ak,Beilen,1731,Midden-Drenthe,0593523159,Basisonderwijs,52.86542165,6.51647187
Drenthe,Dalton Kindcentrum Jonglaren,Ludinge,6,9471 Jd,Zuidlaren,1730,Tynaarlo,0504092079,Basisonderwijs,53.09162654,6.66448338
Drenthe,Kindcentrum De Lichtbaak,Amstelstraat,14-B,9406 Th,Assen,0106,Assen,0592354150,Basisonderwijs,53.00853362,6.54276641
Drenthe,Christelijk Kindcentrum Het Kompas,Einthovenstraat,26,9402 Cb,Assen,0106,Assen,0592354234,Basisonderwijs,52.99894818,6.55227243
Drenthe,Kindcentrum De Scharmhof,Scharmbarg,1,9407 Ea,Assen,0106,Assen,0592343800,Basisonderwijs,53.0177039,6.56329627
Drenthe,Christelijk Kindcentrum Rehoboth,Rooilaan,154,7876 Gw,Valthermond,1681,Borger-Odoorn,0599662367,Basisonderwijs,52.876323,6.95154477
Drenthe,Kindcentrum De Borg,Dusselheugte,13,9403 Gn,Assen,0106,Assen,0592370203,Basisonderwijs,53.01787302,6.58249583
Drenthe,Kindcentrum De Tol,De Hilde,1,9472 Wh,Zuidlaren,1730,Tynaarlo,0504091804,Basisonderwijs,53.07791096,6.69456521
Drenthe,Kindcentrum Het Krijt,Schoolstraat,29,9408 Mb,Assen,0106,Assen,0592460370,Basisonderwijs,53.00085136,6.51436189
Drenthe,Kindcentrum De Kloostertuin,Aletta Jacobsweg,80,9408 Am,Assen,0106,Assen,0592350303,Basisonderwijs,53.00335479,6.50577913
Drenthe,Ckc De Rietzanger,Borchsingel,39,9766 Pp,Eelderwolde,1730,Tynaarlo,0502053399,Basisonderwijs,53.17930859,6.53962656
Drenthe,Het Mozaiek,De Stok,4,7913 Re,Hollandscheveld,0118,Hoogeveen,0528343291,Basisonderwijs,52.70395949,6.5441355
Drenthe,Sint Theresiaschool,Kerkweg,4,7741 Pj,Coevorden,0109,Coevorden,0524514782,Basisonderwijs,52.67147215,6.69626395
Drenthe,Sint Willibrordus,Thorbeckestraat,1,7742 Aj,Coevorden,0109,Coevorden,0524513531,Basisonderwijs,52.6640162,6.75271001
Drenthe,K B S De Plataan,Vledderstraat,3-E,7941 Lc,Meppel,0119,Meppel,0522251025,Basisonderwijs,52.69779467,6.19411722
Drenthe,R.K. Basisschool Titus Brandsma,Herman Bavinckstraat,1,7901 Bs,Hoogeveen,0118,Hoogeveen,0528264115,Basisonderwijs,52.72872387,6.47562599
Drenthe,St Franciscussch,Zuidersloot,61,7765 Ag,Weiteveen,0114,Emmen,0524541495,Basisonderwijs,52.67141767,6.99700036
Drenthe,Sint Gerardus Majella School,Europaweg,149,7766 Ae,Nieuw-Schoonebeek,0114,Emmen,0524541403,Basisonderwijs,52.64689765,6.99029475
Drenthe,Rooms Katholieke Basisschool Panta Rhei,Jan Van Scorelstraat,9,7741 Xm,Coevorden,0109,Coevorden,0524513467,Basisonderwijs,52.66930941,6.75041692
Drenthe,Montessorischool Het Element,De Karn,5,7908 Nx,Hoogeveen,0118,Hoogeveen,0528220300,Basisonderwijs,52.71663107,6.43915416
Drenthe,Christelijke Basisschool De Fontein,Westrupstraat,10,7841 Az,Sleen,0109,Coevorden,0591361910,Basisonderwijs,52.76805518,6.80067619
Drenthe,Protestants Christelijk Basisschool De Wegwijzer,Schoolweg,2,7917 Px,Geesbrug,0109,Coevorden,0524291600,Basisonderwijs,52.7232337,6.61713574
Drenthe,Christelijke Basisschool De Schutse,Paardelandsdrift,9,7854 Pr,Aalden,0109,Coevorden,0591371898,Basisonderwijs,52.79289064,6.71256121
Drenthe,Christelijke Basisschool De Slagkrooie,Ringstraat,22,7848 Bw,Schoonoord,0109,Coevorden,0591382412,Basisonderwijs,52.84683146,6.75092611
Drenthe,Willem Alexanderschool,Oranjestraat,2,7753 Tk,Dalerpeel,0109,Coevorden,0524571956,Basisonderwijs,52.67954481,6.66143303
Drenthe,Mijndert Van Der Thynenschool,Jan Van Scorelstraat,11,7741 Xm,Coevorden,0109,Coevorden,0524513283,Basisonderwijs,52.66946519,6.75065731
Drenthe,Paul Krugerschool,Van Heutszsingel,9,7741 Er,Coevorden,0109,Coevorden,0524516182,Basisonderwijs,52.66404808,6.73758138
Drenthe,Dr. Picardtschool,Van Pallandtlaan,7,7742 Wj,Coevorden,0109,Coevorden,0524512148,Basisonderwijs,52.66347415,6.75677516
Drenthe,Christelijke Basisschool De Wel,Burg. Haitsmalaan,7,7948 Ae,Nijeveen,0119,Meppel,0522490461,Basisonderwijs,52.72954782,6.16634968
Drenthe,Christelijke Basisschool De Fontein,Heuvelenweg,22-B,7991 Cl,Dwingeloo,1701,Westerveld,0521593196,Basisonderwijs,52.83268525,6.35802257
Drenthe,Protestants Christelijke Basisschool Nijensleek,Hoofdweg,136,8383 Ek,Nijensleek,1701,Westerveld,0521381885,Basisonderwijs,52.83012452,6.15392991
Drenthe,Cbs De Akker,Hoogeveenseweg,28,7933 Pg,Pesse,0118,Hoogeveen,0528262566,Basisonderwijs,52.75687298,6.46174808
Drenthe,Protestants Christelijke Basisschool De Arendsvleugel,Bleekhof,2,7961 Aw,Ruinerwold,1690,De Wolden,0522481344,Basisonderwijs,52.72059748,6.24964521
Drenthe,Basisschool Roosjen,Hoofdstraat,23,7981 Ac,Diever,1701,Westerveld,0521591513,Basisonderwijs,52.85785891,6.31569171
Drenthe,Protestants Christelijke School Het Kompas,Zuiderlaan,197-C,7944 Ee,Meppel,0119,Meppel,0522799199,Basisonderwijs,52.69015622,6.18495835
Drenthe,Prins Johan Frisoschool Voor Christelijk Basisonderwijs,Prinses Christinalaan,8,7958 Sk,Koekange,1690,De Wolden,0522451384,Basisonderwijs,52.70094732,6.31745303
Drenthe,Anne Frankschool,K.P.-Laan,20,7943 Cv,Meppel,0119,Meppel,0522258500,Basisonderwijs,52.6956709,6.21798734
Drenthe,K.C. Cbs De Heidevlinder,Heidelaan,1,7921 Ea,Zuidwolde Dr,1690,De Wolden,0528372772,Basisonderwijs,52.67472491,6.43471085
Drenthe,Koningin Beatrixschool,De Vissersingel,1,7942 Ea,Meppel,0119,Meppel,0522251716,Basisonderwijs,52.70274632,6.19284192
Drenthe,Protestants Christelijke Basisschool De Akker,Engelgaarde,31,7943 Ld,Meppel,0119,Meppel,0522251513,Basisonderwijs,52.69741794,6.22392139
Drenthe,P.C. Basisschool Stadskwartier,Catharinastraat,9,7941 Jd,Meppel,0119,Meppel,0522251076,Basisonderwijs,52.69466735,6.19257058
Drenthe,Kindpunt Gavelanden,De Vissersingel,1,7942 Ea,Meppel,0119,Meppel,0522251716,Basisonderwijs,52.70274632,6.19284192
Drenthe,Christelijke Nationale Basisschool De Bron,Ganzenroer,2,7833 Gh,Nieuw-Amsterdam,0114,Emmen,0591551293,Basisonderwijs,52.71447771,6.85493349
Drenthe,'T Twiespan,Vredenveld,78,7824 Cj,Emmen,0114,Emmen,0591622409,Basisonderwijs,52.78172986,6.92313827
Drenthe,Protestants Christelijke Basisschool Willem Alexander,Verlengde Vaart Nz,37,7887 Ee,Erica,0114,Emmen,0591301623,Basisonderwijs,52.71091076,6.92087523
Drenthe,Basisschool De Bentetop,Weerdingerkanaal Zz,163,7831 Ak,Nieuw-Weerdinge,0114,Emmen,0591521405,Basisonderwijs,52.85765988,6.98953244
Drenthe,Cb De Zwaluw,Zandpolstraat,9,7764 Ak,Zandpol,0114,Emmen,0591552655,Basisonderwijs,52.69328677,6.86542852
