PROVINCIE;BEVOEGD GEZAG NUMMER;INSTELLINGSCODE;INSTELLINGSNAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;NODAAL GEBIED CODE;NODAAL GEBIED NAAM;RPA-GEBIED CODE;RPA-GEBIED NAAM;WGR-GEBIED CODE;WGR-GEBIED NAAM;COROPGEBIED CODE;COROPGEBIED NAAM;ONDERWIJSGEBIED CODE;ONDERWIJSGEBIED NAAM;RMC-REGIO CODE;RMC-REGIO NAAM
Drenthe;20091;32JK;BBS de Verwondering;Melkweg;13;9306 TC;ALTEVEER GEM NOORDENVELD;1699;NOORDENVELD;Algemeen bijzonder; ; ;Melkweg;13;9306 TC;ALTEVEER GEM NOORDENVELD;01;Groningen;03;Centraal-Groningen;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;01;Groningen en omstreken;07;Noord- en Midden Drenthe
Drenthe;32073;03WU;Kindcentrum De Wegwijzer;Harm Tiesingstraat;74;9571 AZ;2E EXLOERMOND;1681;BORGER-ODOORN;Protestants-Christelijk;0599671206;www.ckcdewegwijzer.nl;Harm Tiesingstraat;74;9571 AZ;2E EXLOERMOND;12;Emmen;05;Zuid- en Midden-Drenthe;08;Zuidoost-Drenthe;08;Zuidoost-Drenthe;04;Assen-Hoogeveen-Emmen;08;Zuid-Oost Drenthe
Drenthe;32073;04LY;Christelijk Kindcentrum De Borgh;Molenstraat;3-A;9531 CH;BORGER;1681;BORGER-ODOORN;Protestants-Christelijk;0599234254;www.cbsdeborgh.nl;Molenstraat;3-A;9531 CH;BORGER;12;Emmen;05;Zuid- en Midden-Drenthe;08;Zuidoost-Drenthe;08;Zuidoost-Drenthe;04;Assen-Hoogeveen-Emmen;08;Zuid-Oost Drenthe
Drenthe;32073;04TG;Kindcentrum Drijber;Nijenkamp;29;9419 TM;DRIJBER;1731;MIDDEN-DRENTHE;Protestants-Christelijk;0593562543;www.cbsdrijber.nl;Nijenkamp;29;9419 TM;DRIJBER;11;Assen;05;Zuid- en Midden-Drenthe;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;04;Assen-Hoogeveen-Emmen;07;Noord- en Midden Drenthe
Drenthe;32073;05NQ;Christelijk Kindcentrum Menso Altingschool;Brinkhovenlaan;3-B;9765 BH;PATERSWOLDE;1730;TYNAARLO;Protestants-Christelijk;0503093854;www.cbs-mensoalting.nl;Brinkhovenlaan;3-B;9765 BH;PATERSWOLDE;01;Groningen;03;Centraal-Groningen;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;01;Groningen en omstreken;07;Noord- en Midden Drenthe
Drenthe;32073;05OC;Dalton Kindcentrum ’t Kompas;Ceresstraat;6;9514 CA;GASSELTERNIJVEEN;1680;AA EN HUNZE;Protestants-Christelijk;0599512734;www.dkckompas.nl;Ceresstraat;6;9514 CA;GASSELTERNIJVEEN;11;Assen;03;Centraal-Groningen;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;04;Assen-Hoogeveen-Emmen;07;Noord- en Midden Drenthe
Drenthe;32073;05RC;Kindcentrum De Klister;Noorderdiep;123;9521 BC;NIEUW-BUINEN;1681;BORGER-ODOORN;Protestants-Christelijk;0599613864;www.cbsdeklister.nl;Noorderdiep;123;9521 BC;NIEUW-BUINEN;12;Emmen;05;Zuid- en Midden-Drenthe;08;Zuidoost-Drenthe;08;Zuidoost-Drenthe;04;Assen-Hoogeveen-Emmen;08;Zuid-Oost Drenthe
Drenthe;32073;05TN;Dalton Kindcentrum De Vaart;Prof. Dr. Obbinkstraat;3-B;9423 PR;HOOGERSMILDE;1731;MIDDEN-DRENTHE;Protestants-Christelijk;0592459055;www.cbsdevaart.nl;Prof. Dr. Obbinkstraat;3-B;9423 PR;HOOGERSMILDE;11;Assen;05;Zuid- en Midden-Drenthe;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;04;Assen-Hoogeveen-Emmen;07;Noord- en Midden Drenthe
Drenthe;32073;05TS;Kindcentrum SPEEL en LEER;Kerklaan;3;9341 AV;VEENHUIZEN;1699;NOORDENVELD;Protestants-Christelijk;0592388355;www.kindcentrumspeelenleer.nl;Kerklaan;3;9341 AV;VEENHUIZEN;01;Groningen;03;Centraal-Groningen;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;01;Groningen en omstreken;07;Noord- en Midden Drenthe
Drenthe;32073;06HP;Kindcentrum Het Octaaf;Witterhoofdweg;1-C;9405 HX;ASSEN;0106;ASSEN;Protestants-Christelijk;0592351506;www.octaafassen.nl;Witterhoofdweg;1-C;9405 HX;ASSEN;11;Assen;03;Centraal-Groningen;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;04;Assen-Hoogeveen-Emmen;07;Noord- en Midden Drenthe
Drenthe;32073;06HZ;Dalton Kindcentrum De Wingerd;Floralaan;1-A;9421 NP;BOVENSMILDE;1731;MIDDEN-DRENTHE;Protestants-Christelijk;0592412991;www.cbsdewingerd.nl;Floralaan;1-A;9421 NP;BOVENSMILDE;11;Assen;05;Zuid- en Midden-Drenthe;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;04;Assen-Hoogeveen-Emmen;07;Noord- en Midden Drenthe
Drenthe;32073;06LV;Kindcentrum De Marke;De Weegbree;21;9461 KM;GIETEN;1680;AA EN HUNZE;Protestants-Christelijk;0592263113;www.demarkegieten.nl;Postbus;120;9460 AC;GIETEN;11;Assen;03;Centraal-Groningen;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;04;Assen-Hoogeveen-Emmen;07;Noord- en Midden Drenthe
Drenthe;32073;07AU;Kindcentrum De Wegwijzer;Homaat;2;9431 MK;WESTERBORK;1731;MIDDEN-DRENTHE;Protestants-Christelijk;0593331305;www.wegwijzer-westerbork.nl;Postbus;44;9430 AA;WESTERBORK;11;Assen;05;Zuid- en Midden-Drenthe;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;04;Assen-Hoogeveen-Emmen;07;Noord- en Midden Drenthe
Drenthe;32073;07NN;Kindcentrum De Holtenhoek;Holtenweg;5;9481 CN;VRIES;1730;TYNAARLO;Protestants-Christelijk;0592541644;www.deholtenhoek.nl;Postbus;25;9480 AA;VRIES;01;Groningen;03;Centraal-Groningen;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;01;Groningen en omstreken;07;Noord- en Midden Drenthe
Drenthe;32073;08PP;Kindcentrum De Schutkampen;Prins Hendrikstraat;2;9422 GJ;SMILDE;1731;MIDDEN-DRENTHE;Protestants-Christelijk;0592414010;www.cbsdeschutkampen.nl;Prins Hendrikstraat;2;9422 GJ;SMILDE;11;Assen;05;Zuid- en Midden-Drenthe;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;04;Assen-Hoogeveen-Emmen;07;Noord- en Midden Drenthe
Drenthe;32073;09KO;Kindcentrum De Regenboog;Tuinstraat;5-B;9404 KK;ASSEN;0106;ASSEN;Protestants-Christelijk;0592316723;www.regenboogassen.nl;Tuinstraat;5-B;9404 KK;ASSEN;11;Assen;03;Centraal-Groningen;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;04;Assen-Hoogeveen-Emmen;07;Noord- en Midden Drenthe
Drenthe;32073;09QP;Kindcentrum Beatrix;Sportlaan;10;9411 BG;BEILEN;1731;MIDDEN-DRENTHE;Protestants-Christelijk;0593522718;www.cbsprinsesbeatrix.nl;Sportlaan;10;9411 BG;BEILEN;11;Assen;05;Zuid- en Midden-Drenthe;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;04;Assen-Hoogeveen-Emmen;07;Noord- en Midden Drenthe
Drenthe;32073;10IL;Christelijk Kindcentrum Het Stroomdal;Esdoornlaan;1;9471 SH;ZUIDLAREN;1730;TYNAARLO;Protestants-Christelijk;0504093170;www.stroomdal.nl;Esdoornlaan;1;9471 SH;ZUIDLAREN;01;Groningen;03;Centraal-Groningen;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;01;Groningen en omstreken;07;Noord- en Midden Drenthe
Drenthe;32073;10KN;Christelijk Dalton Kindcentrum De Eshorst;Esweg;106;9411 AK;BEILEN;1731;MIDDEN-DRENTHE;Protestants-Christelijk;0593523159;www.eshorst.nl;Postbus;108;9410 AC;BEILEN;11;Assen;05;Zuid- en Midden-Drenthe;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;04;Assen-Hoogeveen-Emmen;07;Noord- en Midden Drenthe
Drenthe;32073;10YQ;Dalton Kindcentrum Jonglaren;Ludinge;6;9471 JD;ZUIDLAREN;1730;TYNAARLO;Protestants-Christelijk;0504092079;www.jonglaren.nl;Ludinge;6;9471 JD;ZUIDLAREN;01;Groningen;03;Centraal-Groningen;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;01;Groningen en omstreken;07;Noord- en Midden Drenthe
Drenthe;32073;11KN;Kindcentrum De Lichtbaak;Amstelstraat;14-B;9406 TH;ASSEN;0106;ASSEN;Protestants-Christelijk;0592354150;www.delichtbaak.nl;Amstelstraat;14-B;9406 TH;ASSEN;11;Assen;03;Centraal-Groningen;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;04;Assen-Hoogeveen-Emmen;07;Noord- en Midden Drenthe
Drenthe;32073;11VZ;Christelijk Kindcentrum Het Kompas;Einthovenstraat;26;9402 CB;ASSEN;0106;ASSEN;Protestants-Christelijk;0592354234;www.ckchetkompas.nl/;Einthovenstraat;26;9402 CB;ASSEN;11;Assen;03;Centraal-Groningen;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;04;Assen-Hoogeveen-Emmen;07;Noord- en Midden Drenthe
Drenthe;32073;12OR;Kindcentrum De Scharmhof;Scharmbarg;1;9407 EA;ASSEN;0106;ASSEN;Protestants-Christelijk;0592343800;www.scharmhof.nl;Scharmbarg;1;9407 EA;ASSEN;11;Assen;03;Centraal-Groningen;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;04;Assen-Hoogeveen-Emmen;07;Noord- en Midden Drenthe
Drenthe;32073;14ZS;Christelijk Kindcentrum Rehoboth;Rooilaan;154;7876 GW;VALTHERMOND;1681;BORGER-ODOORN;Protestants-Christelijk;0599662367;www.rehoboth-school.nl;Rooilaan;154;7876 GW;VALTHERMOND;12;Emmen;05;Zuid- en Midden-Drenthe;08;Zuidoost-Drenthe;08;Zuidoost-Drenthe;04;Assen-Hoogeveen-Emmen;08;Zuid-Oost Drenthe
Drenthe;32073;21LS;Kindcentrum De Borg;Dusselheugte;13;9403 GN;ASSEN;0106;ASSEN;Protestants-Christelijk;0592370203;www.basisschooldeborg.nl;Dusselheugte;13;9403 GN;ASSEN;11;Assen;03;Centraal-Groningen;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;04;Assen-Hoogeveen-Emmen;07;Noord- en Midden Drenthe
