PROVINCIE,INSTELLINGSNAAM,STRAATNAAM,HUISNUMMER-TOEVOEGING,POSTCODE,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,TELEFOONNUMMER,school_type
Friesland,NHL Stenden Hogeschool,Rengerslaan,10,8917 DD,LEEUWARDEN,0080,LEEUWARDEN,0582512345,university
Gelderland,Christelijke Hogeschool Ede,Oude Kerkweg,100,6717 JS,EDE,0228,EDE,0318696300,university
Gelderland,Aeres Hogeschool,Mansholtlaan,18,6708 PA,WAGENINGEN,0289,WAGENINGEN,0880207000,university
Gelderland,ArtEZ,Onderlangs,9,6812 CE,ARNHEM,0202,ARNHEM,0263535600,university
Gelderland,Hogeschool Van Hall Larenstein,Larensteinselaan,26-A,6882 CT,VELP GLD,0275,RHEDEN,0263695695,university
Gelderland,Iselinge Hogeschool,Bachlaan,11,7002 MZ,DOETINCHEM,0222,DOETINCHEM,0880931000,university
Gelderland,Hogeschool van Arnhem en Nijmegen,Ruitenberglaan,31,6826 CC,ARNHEM,0202,ARNHEM,0263691555,university
Groningen,Hanzehogeschool Groningen,Zernikeplein,1,9747 AS,GRONINGEN,0014,GRONINGEN,0505955610,university
Limburg,Zuyd Hogeschool,Nieuw-Eyckholt,300,6419 DJ,HEERLEN,0917,HEERLEN,0454006060,university
Noord-Brabant,Avans Hogeschool,Prof Cobbenhagenlaan,13,5037 DA,TILBURG,0855,TILBURG,0135958100,university
Noord-Brabant,Breda University of Applied Sciences,Mgr. Hopmansstraat,2,4817 JS,BREDA,0758,BREDA,0765332203,university
Noord-Brabant,HAS green academy,Onderwijsboulevard,221,5223 DE,'S-HERTOGENBOSCH,0796,S HERTOGENBOSCH,0888903600,university
Noord-Brabant,Fontys Hogeschool,Rachelsmolen,1,5612 MA,EINDHOVEN,0772,EINDHOVEN,0877873677,university
Noord-Brabant,Pedagogische Hogeschool De Kempel,Deurneseweg,11,5709 AH,HELMOND,0794,HELMOND,0492514400,university
Noord-Brabant,Design Academy Eindhoven,Emmasingel,14,5611 AZ,EINDHOVEN,0772,EINDHOVEN,0402393939,university
Noord-Holland,Gerrit Rietveld Academie,Fred. Roeskestraat,96,1076 ED,AMSTERDAM,0363,AMSTERDAM,0205711600,university
Noord-Holland,Amsterdamse Hogeschool voor de Kunsten,Jodenbreestraat,3,1011 NG,AMSTERDAM,0363,AMSTERDAM,0205277710,university
Noord-Holland,Hogeschool IPABO Amsterdam Alkmaar,Jan Tooropstraat,136,1061 AD,AMSTERDAM,0363,AMSTERDAM,0206137079,university
Noord-Holland,Hogeschool van Amsterdam,Wibautstraat,3-B,1091 GH,AMSTERDAM,0363,AMSTERDAM,0205952341,university
Overijssel,Hogeschool KPZ,Ten Oeverstraat,68,8012 EW,ZWOLLE,0193,ZWOLLE,0384217425,university
Overijssel,Stichting Hogeschool Viaa,Wethouder Alferinkweg,2,8012 GA,ZWOLLE,0193,ZWOLLE,0384255542,university
Overijssel,Saxion Hogeschool,M.H. Tromplaan,28,7513 AB,ENSCHEDE,0153,ENSCHEDE,0534871111,university
Overijssel,Christelijke Hogeschool Windesheim,Campus,2-6,8017 CA,ZWOLLE,0193,ZWOLLE,0384699911,university
Utrecht,Hogeschool voor de Kunsten Utrecht,Nieuwekade,1,3511 RV,UTRECHT,0344,UTRECHT,0302091509,university
Utrecht,Hogeschool Utrecht,Padualaan,99,3584 CH,UTRECHT,0344,UTRECHT,0302388898,university
Utrecht,Marnix Academie,Vogelsanglaan,1,3571 ZM,UTRECHT,0344,UTRECHT,0302753400,university
Zeeland,HZ University of Applied Sciences,Edisonweg,4,4382 NW,VLISSINGEN,0718,VLISSINGEN,0118489000,university
Zuid-Holland,"Codarts, Hogeschool voor de Kunsten",Kruisplein,26,3012 CC,ROTTERDAM,0599,ROTTERDAM,0102171100,university
Zuid-Holland,Hogeschool Leiden,Zernikedreef,11,2333 CK,LEIDEN,0546,LEIDEN,0715188800,university
Zuid-Holland,Hogeschool Rotterdam,Museumpark,40,3015 CX,ROTTERDAM,0599,ROTTERDAM,0107940000,university
