PROVINCIE,INSTELLINGSNAAM,STRAATNAAM,HUISNUMMER-TOEVOEGING,POSTCODE,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,TELEFOONNUMMER,school_type
Drenthe,School voor Praktijkonderwijs Assen,Zwartwatersweg,202,9406 NN,ASSEN,0106,ASSEN,0592340973,secondary
Drenthe,Christelijk Scholengemeenschap Vincent van Gogh Vwo Havo Mavo Vbo Lwoo,Selma Lagerloflaan,3,9406 KB,ASSEN,0106,ASSEN,0592390290,secondary
Drenthe,Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo,Mr Groen v Prinstererln,98,9402 KG,ASSEN,0106,ASSEN,0592390290,secondary
Drenthe,School voor Praktijkonderwijs De Meander,Wolfsbosstraat,7-A,7905 BZ,HOOGEVEEN,0118,HOOGEVEEN,0528266192,secondary
Drenthe,Regionale Scholengemeenschap Wolfsbos,Valkenlaan,1,7905 AA,HOOGEVEEN,0118,HOOGEVEEN,0528266192,secondary
Drenthe,Carmelcollege Emmen,Wendeling,59,7824 TB,EMMEN,0114,EMMEN,0591622870,secondary
Drenthe,Drenthe College Terra,Anne de Vriesstraat,70,9402 NT,ASSEN,0106,ASSEN,0881884444,secondary
Drenthe,Roelof van Echten College,Sportveldenweg,20,7902 NX,HOOGEVEEN,0118,HOOGEVEEN,0528358658,secondary
Drenthe,Hondsrug College Christelijke SGM voor LYC HAVO MAVO VBO LWOO,Emmalaan,25,7822 JB,EMMEN,0114,EMMEN,0591657979,secondary
Drenthe,Praktijkschool Emmen,Ullevi,22,7825 SE,EMMEN,0114,EMMEN,0591613310,secondary
Drenthe,Christelijke Scholengemeenschap Dingstede voor Mavo Havo en Atheneum,Gerard Doustraat,13,7944 HD,MEPPEL,0119,MEPPEL,0522700500,secondary
Drenthe,Stad & Esch Praktijkschool,Ezingerweg,54,7943 AZ,MEPPEL,0119,MEPPEL,0522253188,secondary
