PROVINCIE,INSTELLINGSNAAM,STRAATNAAM,HUISNUMMER-TOEVOEGING,POSTCODE,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,TELEFOONNUMMER,school_type
Gelderland,SOMA College,Ceintuurbaan,2,3847 LG,HARDERWIJK,0243,HARDERWIJK,0341499100,vocational
Overijssel,C I B A P Christelijk MBO,Nijverheidstraat,11,8031 DZ,ZWOLLE,0193,ZWOLLE,0384546944,vocational
Utrecht,Grafisch Lyceum Utrecht,Vondellaan,178,3521 GH,UTRECHT,0344,UTRECHT,0302807070,vocational
Utrecht,Nimeto Algemeen Bijzondere Scholengemeenschap voor Mbo Kmbo,Smijerslaan,2,3572 LP,UTRECHT,0344,UTRECHT,0302714624,vocational
Utrecht,SVO vakopleiding food,Sleepboot,2,3991 CN,HOUTEN,0321,HOUTEN,0302758181,vocational
Zuid-Holland,Hout- en Meubileringscollege,Erasmuspad,10,3052 KP,ROTTERDAM,0599,ROTTERDAM,0102855555,vocational
Zuid-Holland,Leidse Instrumentmakers School,Einsteinweg,61,2333 CC,LEIDEN,0546,LEIDEN,0715275568,vocational
Gelderland,Aeres VMBO en Aeres MBO,Bovenbuurtweg,27,6717 XA,EDE,0228,EDE,0880207020,vocational
Gelderland,Zone.college,Hoeflingweg,9,7241 CJ,LOCHEM,0262,LOCHEM,0882620700,vocational
Noord-Brabant,Curio,Trivium,74,4873 LP,ETTEN-LEUR,0777,ETTEN-LEUR,0765048000,vocational
Noord-Brabant,SiNTLUCAS,Torenallee,75,5617 BB,EINDHOVEN,0772,EINDHOVEN,0402591391,vocational
Noord-Holland,Stichting Media Amsterdam,Contactweg,36,1014 AN,AMSTERDAM,0363,AMSTERDAM,0208509500,vocational
Utrecht,Yuverta,De Molen,94,3995 AX,HOUTEN,0321,HOUTEN,0306345100,vocational
Zuid-Holland,Scheepvaart en Transport College,Lloydstraat,300,3024 EA,ROTTERDAM,0599,ROTTERDAM,0883186000,vocational
Zuid-Holland,Lentiz onderwijsgroep,Schiedamsedijk,114,3134 KK,VLAARDINGEN,0622,VLAARDINGEN,0104349925,vocational
Zuid-Holland,Grafisch Lyceum Rotterdam voor MBO en VMBO,Heer Bokelweg,255,3032 AD,ROTTERDAM,0599,ROTTERDAM,0108802500,vocational
Noord-Brabant,BBO de Schalm,Vlijmenseweg,2-A,5223 GW,'S-HERTOGENBOSCH,0796,S HERTOGENBOSCH,0736249624,vocational
Flevoland,Regionaal Opleidingen Centrum van Flevoland,Straat van Florida,1,1334 PA,ALMERE,0034,ALMERE,0365495900,vocational
Friesland,Firda,De Eenhoorn,4,8932 NX,LEEUWARDEN,0080,LEEUWARDEN,0582849340,vocational
Gelderland,Regionaal Opleidingen Centrum Rivor,Bachstraat,1,4003 KZ,TIEL,0281,TIEL,0344656200,vocational
Gelderland,Regionaal Opleidingen Centrum Graafschap College,Slingelaan,1,7001 EA,DOETINCHEM,0222,DOETINCHEM,0314353500,vocational
Gelderland,Regionaal Opleidingen Centrum Rijn IJssel,Tivolilaan,10,6824 BW,ARNHEM,0202,ARNHEM,0263129000,vocational
