PROVINCIE,INSTELLINGSNAAM,STRAATNAAM,HUISNUMMER-TOEVOEGING,POSTCODE,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,TELEFOONNUMMER,school_type
Drenthe,BBS de Verwondering,Melkweg,13,9306 TC,ALTEVEER GEM NOORDENVELD,1699,NOORDENVELD, ,primary
Drenthe,Kindcentrum De Wegwijzer,Harm Tiesingstraat,74,9571 AZ,2E EXLOERMOND,1681,BORGER-ODOORN,0599671206,primary
Drenthe,Christelijk Kindcentrum De Borgh,Molenstraat,3-A,9531 CH,BORGER,1681,BORGER-ODOORN,0599234254,primary
Drenthe,Kindcentrum Drijber,Nijenkamp,29,9419 TM,DRIJBER,1731,MIDDEN-DRENTHE,0593562543,primary
Drenthe,Christelijk Kindcentrum Menso Altingschool,Brinkhovenlaan,3-B,9765 BH,PATERSWOLDE,1730,TYNAARLO,0503093854,primary
Drenthe,Dalton Kindcentrum ’t Kompas,Ceresstraat,6,9514 CA,GASSELTERNIJVEEN,1680,AA EN HUNZE,0599512734,primary
Drenthe,Kindcentrum De Klister,Noorderdiep,123,9521 BC,NIEUW-BUINEN,1681,BORGER-ODOORN,0599613864,primary
Drenthe,Dalton Kindcentrum De Vaart,Prof. Dr. Obbinkstraat,3-B,9423 PR,HOOGERSMILDE,1731,MIDDEN-DRENTHE,0592459055,primary
Drenthe,Kindcentrum SPEEL en LEER,Kerklaan,3,9341 AV,VEENHUIZEN,1699,NOORDENVELD,0592388355,primary
Drenthe,Kindcentrum Het Octaaf,Witterhoofdweg,1-C,9405 HX,ASSEN,0106,ASSEN,0592351506,primary
Drenthe,Dalton Kindcentrum De Wingerd,Floralaan,1-A,9421 NP,BOVENSMILDE,1731,MIDDEN-DRENTHE,0592412991,primary
Drenthe,Kindcentrum De Marke,De Weegbree,21,9461 KM,GIETEN,1680,AA EN HUNZE,0592263113,primary
Drenthe,Kindcentrum De Wegwijzer,Homaat,2,9431 MK,WESTERBORK,1731,MIDDEN-DRENTHE,0593331305,primary
Drenthe,Kindcentrum De Holtenhoek,Holtenweg,5,9481 CN,VRIES,1730,TYNAARLO,0592541644,primary
Drenthe,Kindcentrum De Schutkampen,Prins Hendrikstraat,2,9422 GJ,SMILDE,1731,MIDDEN-DRENTHE,0592414010,primary
Drenthe,Kindcentrum De Regenboog,Tuinstraat,5-B,9404 KK,ASSEN,0106,ASSEN,0592316723,primary
Drenthe,Kindcentrum Beatrix,Sportlaan,10,9411 BG,BEILEN,1731,MIDDEN-DRENTHE,0593522718,primary
Drenthe,Christelijk Kindcentrum Het Stroomdal,Esdoornlaan,1,9471 SH,ZUIDLAREN,1730,TYNAARLO,0504093170,primary
Drenthe,Christelijk Dalton Kindcentrum De Eshorst,Esweg,106,9411 AK,BEILEN,1731,MIDDEN-DRENTHE,0593523159,primary
Drenthe,Dalton Kindcentrum Jonglaren,Ludinge,6,9471 JD,ZUIDLAREN,1730,TYNAARLO,0504092079,primary
Drenthe,Kindcentrum De Lichtbaak,Amstelstraat,14-B,9406 TH,ASSEN,0106,ASSEN,0592354150,primary
Drenthe,Christelijk Kindcentrum Het Kompas,Einthovenstraat,26,9402 CB,ASSEN,0106,ASSEN,0592354234,primary
Drenthe,Kindcentrum De Scharmhof,Scharmbarg,1,9407 EA,ASSEN,0106,ASSEN,0592343800,primary
Drenthe,Christelijk Kindcentrum Rehoboth,Rooilaan,154,7876 GW,VALTHERMOND,1681,BORGER-ODOORN,0599662367,primary
Drenthe,Kindcentrum De Borg,Dusselheugte,13,9403 GN,ASSEN,0106,ASSEN,0592370203,primary
Drenthe,Kindcentrum De Tol,De Hilde,1,9472 WH,ZUIDLAREN,1730,TYNAARLO,0504091804,primary
Drenthe,Kindcentrum Het Krijt,Schoolstraat,29,9408 MB,ASSEN,0106,ASSEN,0592460370,primary
Drenthe,Kindcentrum De Kloostertuin,Aletta Jacobsweg,80,9408 AM,ASSEN,0106,ASSEN,0592350303,primary
Drenthe,CKC De Rietzanger,Borchsingel,39,9766 PP,EELDERWOLDE,1730,TYNAARLO,0502053399,primary
Drenthe,Het Mozaiek,De Stok,4,7913 RE,HOLLANDSCHEVELD,0118,HOOGEVEEN,0528343291,primary
Drenthe,Sint Theresiaschool,Kerkweg,4,7741 PJ,COEVORDEN,0109,COEVORDEN,0524514782,primary
Drenthe,Sint Willibrordus,Thorbeckestraat,1,7742 AJ,COEVORDEN,0109,COEVORDEN,0524513531,primary
Drenthe,K B S De Plataan,Vledderstraat,3-E,7941 LC,MEPPEL,0119,MEPPEL,0522251025,primary
Drenthe,R.K. Basisschool Titus Brandsma,Herman Bavinckstraat,1,7901 BS,HOOGEVEEN,0118,HOOGEVEEN,0528264115,primary
Drenthe,St Franciscussch,Zuidersloot,61,7765 AG,WEITEVEEN,0114,EMMEN,0524541495,primary
Drenthe,Sint Gerardus Majella School,Europaweg,149,7766 AE,NIEUW-SCHOONEBEEK,0114,EMMEN,0524541403,primary
Drenthe,Rooms Katholieke Basisschool Panta Rhei,Jan van Scorelstraat,9,7741 XM,COEVORDEN,0109,COEVORDEN,0524513467,primary
Drenthe,Montessorischool Het Element,De Karn,5,7908 NX,HOOGEVEEN,0118,HOOGEVEEN,0528220300,primary
Drenthe,Christelijke Basisschool De Fontein,Westrupstraat,10,7841 AZ,SLEEN,0109,COEVORDEN,0591361910,primary
Drenthe,Protestants Christelijk Basisschool De Wegwijzer,Schoolweg,2,7917 PX,GEESBRUG,0109,COEVORDEN,0524291600,primary
Drenthe,Christelijke Basisschool de Schutse,Paardelandsdrift,9,7854 PR,AALDEN,0109,COEVORDEN,0591371898,primary
Drenthe,Christelijke Basisschool De Slagkrooie,Ringstraat,22,7848 BW,SCHOONOORD,0109,COEVORDEN,0591382412,primary
Drenthe,Willem Alexanderschool,Oranjestraat,2,7753 TK,DALERPEEL,0109,COEVORDEN,0524571956,primary
