provincie,instellingsnaam,straatnaam,huisnummer-toevoeging,postcode,plaatsnaam,gemeentenummer,gemeentenaam,telefoonnummer,school_type,latitude,longitude
Drenthe,BBS de Verwondering,Melkweg,13,9306 TC,ALTEVEER GEM NOORDENVELD,1699,NOORDENVELD, ,primary,53.11392514,6.43798025
Drenthe,Kindcentrum De Wegwijzer,Harm Tiesingstraat,74,9571 AZ,2E EXLOERMOND,1681,BORGER-ODOORN,0599671206,primary,52.90185962,6.92183534
Drenthe,Christelijk Kindcentrum De Borgh,Molenstraat,3-A,9531 CH,BORGER,1681,BORGER-ODOORN,0599234254,primary,52.92171223,6.79637322
Drenthe,Kindcentrum Drijber,Nijenkamp,29,9419 TM,DRIJBER,1731,MIDDEN-DRENTHE,0593562543,primary,52.78784548,6.5468591
Drenthe,Christelijk Kindcentrum Menso Altingschool,Brinkhovenlaan,3-B,9765 BH,PATERSWOLDE,1730,TYNAARLO,0503093854,primary,53.14983045,6.5693784
Drenthe,Dalton Kindcentrum ’t Kompas,Ceresstraat,6,9514 CA,GASSELTERNIJVEEN,1680,AA EN HUNZE,0599512734,primary,52.98875169,6.85324631
Drenthe,Kindcentrum De Klister,Noorderdiep,123,9521 BC,NIEUW-BUINEN,1681,BORGER-ODOORN,0599613864,primary,52.96774634,6.9537094
Drenthe,Dalton Kindcentrum De Vaart,Prof. Dr. Obbinkstraat,3-B,9423 PR,HOOGERSMILDE,1731,MIDDEN-DRENTHE,0592459055,primary,52.90616659,6.39494666
Drenthe,Kindcentrum SPEEL en LEER,Kerklaan,3,9341 AV,VEENHUIZEN,1699,NOORDENVELD,0592388355,primary,53.03241159,6.39451911
Drenthe,Kindcentrum Het Octaaf,Witterhoofdweg,1-C,9405 HX,ASSEN,0106,ASSEN,0592351506,primary,52.98739216,6.52985731
Drenthe,Dalton Kindcentrum De Wingerd,Floralaan,1-A,9421 NP,BOVENSMILDE,1731,MIDDEN-DRENTHE,0592412991,primary,52.97373891,6.48004761
